Bandwidth;88SFA;88PMOO;77SFA;77PMOO;66SFA;66PMOO;55SFA;55PMOO;44SFA;44PMOO;33SFA;33PMOO;22SFA;22PMOO;11SFA;11PMOO
0.0;Infinity;218.6222520430882;Infinity;218.62171621410897;Infinity;218.62125182910302;Infinity;218.62085888803682;Infinity;218.6205373908769;Infinity;218.62028733758982;Infinity;218.62010872814201;218.62000156250002;218.62000156250002
5.1199992;247.86706956950957;240.38068619690202;247.73899252245707;240.30307695208802;247.5381879369304;240.17536762860252;247.19906227232562;239.9496635019467;246.5630318707011;239.5078154579896;245.16260587741823;238.494842498512;241.08340475667302;235.43703459296617;218.62000156250002;218.62000156250002
10.2399984;277.1205156777562;262.62573116560384;276.8656834183795;262.52874006919166;276.4655327355191;262.34531570397996;275.7890115903155;261.98355290733764;274.5191598755886;261.2088838438829;271.7211363698595;259.29379572505104;263.56424660930173;253.1390618190968;218.62000156250002;218.62000156250002
15.359997599999998;306.383652163189;285.37389557119354;306.00266872069903;285.319462876374;305.40403343125286;285.15787138904005;304.391388691865;284.75807761540227;302.4896411517486;283.7722466233529;298.29679944645574;281.08317546151886;286.0638016353952;271.7979553817752;218.62000156250002;218.62000156250002
20.4799968;335.6566295049644;308.64244333284256;335.15013504390544;308.6970717315254;334.3539356995754;308.64138503826535;333.0065412791806;308.3112189427347;330.47500952541475;307.2503406353457;324.89046989298885;303.9354519527777;308.5833131791829;291.49345414237996;218.62000156250002;218.62000156250002
25.599995999999997;364.9396029904611;332.44943736181534;364.30827624645633;332.6845317599821;363.3154969867678;332.8258995657518;361.6348378727005;332.68360038582097;358.4758391363958;331.6999423207685;351.50310586247315;327.93034246944967;331.12416378165585;312.3144099750195;218.62000156250002;218.62000156250002
30.719995199999996;394.2327329642421;356.8137863252675;393.47729387204373;357.30602210354084;392.28898735843205;357.7432786695091;390.2766696035952;357.91872144238954;386.4927486405559;357.18262613130867;378.1357595065661;353.1557404139511;353.687895616887;334.3601279154612;218.62000156250002;218.62000156250002
35.83999439999999;423.5361850941148;381.7552947333627;422.657397625633;382.5870172162723;421.27469042551013;383.4273468918592;418.9324521991558;384.0632167107592;414.5264059555136;383.7652823005672;404.78958928466994;379.70879112750686;376.27623464356844;357.7419499735055;218.62000156250002;218.62000156250002
40.9599936;452.8501306557095;407.29471662854945;451.84880588756937;408.5543747817209;450.2729043563013;409.9140428105056;447.6026281858229;411.1671435139012;442.57753363341715;411.5207031437508;431.4658742681077;407.69714215238884;398.8911192844601;382.58513591017754;218.62000156250002;218.62000156250002
46.0799928;482.17474683713704;433.45381318290003;481.0517462693981;435.23643088932755;479.28394298401577;437.24158681923853;476.2876693383162;439.2843017804227;470.64691495978786;440.5282487062227;458.16603082728506;437.2404018712351;421.5347346561703;409.0311080363122;218.62000156250002;218.62000156250002
51.199991999999995;511.51021706543753;460.2554145394677;510.2664562154604;462.6631031791195;508.30813702063426;465.4506651454959;504.988079407654;468.47259048339794;498.7354008956956;470.87460457881264;484.8916321784132;468.47184819887445;444.2095536443411;437.2401449708561;218.62000156250002;218.62000156250002
